SMILES,Adduct,True CCS
CC(CCC(=NCC(=O)O)O)(C1(CCC2(C3(C(CC(C12C)(O)[H])(C4(C)CCC(CC4(CC3(O)[H])[H])(O)[H])[H])[H])[H])[H])[H],[M-H]-,200.5769608
CC(CC(=O)SCCN=C(CCN=C(C(C(C)(C)COP(O)(=O)OP(O)(=O)OCC1(C(C(C(N2C=NC3=C(N)N=CN=C32)(O1)[H])(O)[H])(OP(O)(O)=O)[H])[H])(O)[H])O)O)=O,[M+H]+,248.6937061
CC(C1(CCC2(C3(CCC4=CC(CCC4(C)C3(CCC12C)[H])=O)[H])[H])[H])=O,[M+Na]+,169.0333333
CC(C1(CCC2(C3(CC=C4CC(CCC4(C)C3(CCC12C)[H])(OS(O)(=O)=O)[H])[H])[H])[H])=O,[M-H]-,203.9071404
CC(C)NCC(COC1=CC=C(C=C1)CC(=N)O)O,[M+H]+,158.9619171
CC(C)CCCC(C)(CCCC(C)(CCCC1(C)CCC2=C(C)C(=CC(C)=C2O1)O)[H])[H],[M-H]-,209.7548006
CC(C)C1=CC2=CC[C@@H]3[C@@]([C@H]2CC1)(CCC[C@@]3(C)C(=O)O)C,[M-H]-,185.724974
CC(C)C=1C=C(C(C)=CC1OCCN(C)C)OC(C)=O,[M+H]+,166.2604461
CC(C)C(CC=1C=CC(=C(C1)OCCCOC)OC)(CC(C(CC(C(C)C)(C(=NCC(C)(C)C(=N)O)O)[H])(O)[H])(N)[H])[H],[M+H]+,226.2636028
CC(C)C(C(C(=O)O)(O)[H])(C(=O)O)[H],[M-H]-,127.4600287
CC(C)=CCNC1=C2C(=NC=N2)NC=N1,[M-H]-,151.2
CC(C)=CCCC(C)=C(CCC(C)=C(CCC(C)=C(CC1=C(C)C(C2=CC=CC=C2C1=O)=O)[H])[H])[H],[M+H]+,198.6621597
CC(C)(COP(O)(=O)OP(O)(=O)OCC1(C(C(C(N2C=NC3=C(N)N=CN=C32)(O1)[H])(O)[H])(OP(O)(O)=O)[H])[H])C(C(=NCCC(=NCCS)O)O)(O)[H],[M+H]+,241.4
CC(C)(COP(O)(=O)OP(O)(=O)OCC1(C(C(C(N2C=NC3=C(N)N=CN=C32)(O1)[H])(O)[H])(OP(O)(O)=O)[H])[H])C(C(=NCCC(=NCCS)O)O)(O)[H],[M-H]-,243.7
CC(C)(CO)C(C(=NCCC(=O)O)O)(O)[H],[M+H]+,150.1666667
CC(C)(CO)C(C(=NCCC(=NCCSSCCN=C(CCN=C(C(C(C)(C)CO)(O)[H])O)O)O)O)(O)[H],[M+H]+,222.5096263
CC(C)(C=C)c1c(cc(c(c1)/C=C/C(=O)c1ccc(cc1)O)OC)O,[M+H]+,191.2557476
CC(C)(C=C)c1c(cc(c(c1)/C=C/C(=O)c1ccc(cc1)O)OC)O,[M-H]-,194.5595589
CC(C(C=1CNC2=C(C(=NC(=N)N2)O)N1)=O)(O)[H],[M+H]+,153.0247653
CC(C(C=1C=NC2=C(C(=NC(=N)N2)O)N1)(O)[H])(O)[H],[M+H]+,153.6950994
CC(C(=O)O)(N=C(C)O)[H],[M+Na]+,134.9
CC(=O)SCCN=C(CCN=C(C(C(C)(C)COP(O)(=O)OP(O)(=O)OCC1(C(C(C(N2C=NC3=C(N)N=CN=C32)(O1)[H])(O)[H])(OP(O)(O)=O)[H])[H])(O)[H])O)O,[M+Na]+,263.0732376
CC(=O)OCC=1CSC2(C(C(N2C1C(=O)O)=O)(N=C(CSC3=CC=NC=C3)O)[H])[H],[M+H]+,179.8877628
CC(=O)CCc1cc(c(cc1)O)OC,[M-H]-,146.5687285
CC(=O)c1cc(c(cc1)O)OC,[M-H]-,133.8072462
CC(=O)C=CC1=CC=CC=C1,[M+H]+,131.2423894
CC(=NCCCCNCCCN)O,[M+H]+,142.8560874
CC(=NCCCCC(C(=O)O)(N)[H])O,[M+H]+,142.4379926
CC(=NCCCC(=O)O)O,[M+Na]+,136.7
CC(=NCCCC(=O)O)O,[M-H]-,132.6
